chave,Data e horario completo,t_0,s1,s2,s3,s4,s5,s6,experimento
4935,2015-09-10 16:28:55.454843,1441913335.450821,104.3413,45.0333,77.9658,44.292,74.94019999999999,48.653000000000006,
4936,2015-09-10 16:29:16.481848,1441913356.47797,103.55630000000001,44.339299999999994,77.6249,44.09,74.56799999999998,48.653000000000006,
4937,2015-09-10 16:29:26.464101,1441913366.460341,101.9863,43.9923,76.9431,44.292,74.19579999999999,48.653000000000006,
4938,2015-09-10 16:29:37.411890,1441913377.407649,101.2013,44.686299999999996,76.6022,44.292,73.82359999999998,48.198100000000004,
4939,2015-09-10 16:29:47.393744,1441913387.390042,102.3788,44.686299999999996,76.6022,44.09,73.45139999999999,48.198100000000004,
4940,2015-09-10 16:29:58.347102,1441913398.342864,100.8088,43.9923,76.26129999999999,44.09,73.45139999999999,48.198100000000004,
4941,2015-09-10 16:30:19.280110,1441913419.274785,99.63130000000001,43.6453,76.26129999999999,43.68600000000001,73.07919999999999,47.74320000000001,
4942,2015-09-10 16:30:29.277707,1441913429.273707,100.02380000000001,44.339299999999994,76.26129999999999,43.68600000000001,73.07919999999999,47.74320000000001,
4943,2015-09-10 16:30:40.267856,1441913440.263869,98.4538,43.2983,75.9204,43.484,73.07919999999999,47.74320000000001,
4944,2015-09-10 16:31:01.160088,1441913461.155222,97.2763,43.6453,74.8977,43.484,72.33479999999999,47.74320000000001,
4945,2015-09-10 16:31:11.143743,1441913471.139767,98.0613,43.2983,74.8977,43.282000000000004,72.33479999999999,47.28830000000001,
4946,2015-09-10 16:31:22.061881,1441913482.057773,97.2763,43.6453,74.21589999999999,43.484,71.9626,47.28830000000001,
4947,2015-09-10 16:31:32.041491,1441913492.03772,97.2763,42.951299999999996,74.5568,42.87800000000001,71.9626,46.833400000000005,
4948,2015-09-10 16:31:43.151838,1441913503.14771,97.2763,43.2983,75.23859999999999,42.87800000000001,71.2182,46.833400000000005,
4949,2015-09-10 16:31:53.136423,1441913513.131878,96.88380000000001,43.6453,74.5568,42.87800000000001,71.2182,46.3785,
4950,2015-09-10 16:32:04.076913,1441913524.07246,96.49130000000001,43.6453,74.5568,42.87800000000001,70.84599999999999,46.3785,
4951,2015-09-10 16:32:14.057124,1441913534.0531,95.3138,42.604299999999995,74.5568,42.474000000000004,70.4738,46.833400000000005,
4952,2015-09-10 16:32:24.977672,1441913544.973755,95.7063,42.604299999999995,74.21589999999999,42.474000000000004,70.84599999999999,46.3785,
4953,2015-09-10 16:32:34.960197,1441913554.956244,94.9213,42.951299999999996,73.5341,42.676,70.4738,46.3785,
4954,2015-09-10 16:32:45.899952,1441913565.895312,93.74380000000001,41.9103,73.5341,42.272000000000006,70.4738,46.833400000000005,
4955,2015-09-10 16:32:55.883618,1441913575.87892,94.1363,42.604299999999995,72.8523,42.676,70.10159999999999,46.3785,
4956,2015-09-10 16:33:06.809155,1441913586.804911,94.1363,42.2573,72.8523,42.474000000000004,70.10159999999999,45.92360000000001,
4957,2015-09-10 16:33:16.804656,1441913596.800221,92.5663,42.2573,72.5114,42.474000000000004,69.72939999999998,46.3785,
4958,2015-09-10 16:33:27.813551,1441913607.809242,92.1738,42.2573,72.5114,42.272000000000006,69.35719999999999,46.3785,
4959,2015-09-10 16:33:37.797481,1441913617.793502,92.5663,41.9103,72.8523,41.868,69.35719999999999,45.92360000000001,
4960,2015-09-10 16:33:48.715273,1441913628.710512,90.9963,42.2573,72.17049999999999,42.07000000000001,69.35719999999999,46.3785,
4961,2015-09-10 16:33:58.713503,1441913638.709031,92.1738,41.9103,72.17049999999999,41.868,69.35719999999999,45.92360000000001,
4962,2015-09-10 16:34:09.622359,1441913649.618152,91.7813,42.2573,71.4887,42.07000000000001,68.98499999999999,45.468700000000005,
4963,2015-09-10 16:34:19.608342,1441913659.604324,90.6038,41.2163,71.4887,41.666000000000004,68.98499999999999,45.92360000000001,
