Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento
3459	2015-09-10 11:45:34.874982	1441896334.87	301.3763	107.1463	241.5978	161.048	288.2108	117.3429	None	
3460	2015-09-10 11:45:45.133444	1441896345.13	299.8063	108.1873	241.5978	158.018	284.861	120.5272	None	
3461	2015-09-10 11:45:55.178411	1441896355.18	300.1988	107.4933	241.5978	158.624	284.4888	120.0723	None	
3462	2015-09-10 11:46:05.446302	1441896365.44	301.7688	112.3513	241.5978	153.574	282.6278	115.5233	None	
3463	2015-09-10 11:46:15.838501	1441896375.84	300.5913	109.5753	241.2569	160.846	281.139	120.0723	None	
3464	2015-09-10 11:46:26.198149	1441896386.2	299.4138	109.2283	240.916	161.048	282.6278	121.8919	None	
3465	2015-09-10 11:46:46.930424	1441896406.93	297.0588	111.3103	241.5978	158.018	284.1166	121.8919	None	
3466	2015-09-10 11:47:07.708787	1441896427.71	298.2363	109.9223	241.5978	161.452	283.7444	120.9821	None	
3467	2015-09-10 11:47:18.101678	1441896438.1	299.0213	112.6983	241.2569	159.432	283.3722	120.0723	None	
3468	2015-09-10 11:47:28.578687	1441896448.58	299.4138	115.8213	240.916	159.634	280.3946	115.0684	None	
3469	2015-09-10 11:47:38.974320	1441896458.97	298.2363	112.0043	240.916	162.26	282.6278	123.2566	None	
3470	2015-09-10 11:47:49.406681	1441896469.4	297.8438	114.7803	240.916	162.058	280.0224	126.8958	None	
3471	2015-09-10 11:48:10.297556	1441896490.29	296.2738	111.6573	241.2569	161.856	283.0	120.9821	None	
3472	2015-09-10 11:48:31.127394	1441896511.12	296.6663	114.0863	242.2796	155.796	282.2556	118.2527	None	
3473	2015-09-10 11:48:41.090885	1441896521.09	294.7038	115.1273	242.2796	153.17	282.2556	116.888	None	
3474	2015-09-10 11:48:51.943015	1441896531.94	297.4513	110.2693	241.5978	162.664	283.0	116.888	None	
3475	2015-09-10 11:49:12.820310	1441896552.82	295.0963	112.6983	241.9387	154.786	280.7668	121.437	None	
